자치구코드,행정동코드,자치구,행정동,업종,행정동_업종,한파_min,한파_Q1,한파_median,한파_Q3,한파_max,한파_mean,한파_lower_whisker,한파_upper_whisker,온화_min,온화_Q1,온화_median,온화_Q3,온화_max,온화_mean,온화_lower_whisker,온화_upper_whisker,폭염_min,폭염_Q1,폭염_median,폭염_Q3,폭염_max,폭염_mean,폭염_lower_whisker,폭염_upper_whisker
11710,11710631,송파구,가락1동,레저/문화용품,가락1동_레저/문화용품,31.879,49.609,65.704,118.424,509.669,92.173,31.879,141.07,35.423,67.208,100.0,128.569,1063.076,131.343,35.423,194.507,43.79,78.981,93.782,127.268,242.91,106.725,43.79,154.324
11710,11710631,송파구,가락1동,마트/생활잡화,가락1동_마트/생활잡화,78.356,89.588,95.025,106.802,156.199,100.382,78.356,119.213,77.881,94.726,100.0,106.95,120.241,101.081,77.881,120.241,30.839,90.628,95.915,106.616,133.153,96.24,80.321,126.515
11710,11710631,송파구,가락1동,병원,가락1동_병원,1.486,85.77,108.445,132.483,176.579,105.063,46.161,176.579,5.555,85.995,100.0,124.204,217.19,107.025,61.224,177.232,0.335,75.248,100.044,144.538,216.412,105.926,0.335,216.412
11710,11710631,송파구,가락1동,스포츠/헬스시설,가락1동_스포츠/헬스시설,4.684,6.916,9.543,11.678,17.239,9.906,4.684,17.239,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.206,12.652,15.099,17.546,19.992,15.099,10.206,19.992
11710,11710631,송파구,가락1동,약국,가락1동_약국,6.194,72.005,83.863,108.943,141.722,86.438,57.689,141.722,17.86,85.108,100.0,113.119,162.958,94.796,52.15,120.125,3.344,72.682,88.674,109.862,129.498,87.741,26.324,129.498
11710,11710631,송파구,가락1동,오락/공연/서점,가락1동_오락/공연/서점,4.748,14.812,35.74,64.73,681.373,94.795,4.748,85.457,35.436,56.066,100.0,129.417,661.545,179.604,35.436,134.81,9.188,18.377,36.753,56.661,1221.276,152.781,9.188,79.632
11710,11710631,송파구,가락1동,음/식료품,가락1동_음/식료품,60.09,91.307,110.589,151.376,268.352,128.157,60.09,225.941,50.441,83.731,100.0,122.751,190.912,104.844,50.441,168.559,27.793,77.221,95.117,113.735,196.668,95.567,27.793,151.882
11710,11710631,송파구,가락1동,일식/양식/중식,가락1동_일식/양식/중식,6.208,49.333,67.457,137.934,250.656,95.967,6.208,250.656,43.549,82.897,100.0,130.903,211.976,109.919,43.549,159.973,28.533,59.976,69.127,95.485,166.52,79.541,28.533,127.976
11710,11710631,송파구,가락1동,제과/커피/패스트푸드,가락1동_제과/커피/패스트푸드,68.361,80.374,85.223,90.546,111.603,86.315,68.361,102.567,79.084,87.735,100.0,107.219,126.367,99.844,79.084,126.367,76.857,93.318,101.341,109.019,138.542,102.598,76.857,124.305
11710,11710631,송파구,가락1동,패션/잡화,가락1동_패션/잡화,8.626,30.218,67.393,133.627,561.638,114.14,8.626,151.591,15.764,63.105,100.0,153.514,1280.81,186.607,15.764,274.633,14.896,37.066,92.756,188.696,411.902,138.967,14.896,411.902
11710,11710631,송파구,가락1동,편의점,가락1동_편의점,66.62,83.959,95.228,97.22,117.457,91.558,66.62,109.622,78.26,95.64,100.0,104.269,113.852,100.23,88.555,113.852,68.629,96.896,104.305,111.07,133.301,102.513,76.401,127.82
11710,11710631,송파구,가락1동,한식,가락1동_한식,61.965,93.228,104.143,146.994,321.709,136.739,61.965,187.589,59.41,94.736,100.0,156.424,264.562,128.327,59.41,238.413,29.081,74.312,84.83,110.533,160.773,92.773,29.081,160.773
11710,11710632,송파구,가락2동,레저/문화용품,가락2동_레저/문화용품,25.994,33.554,41.114,67.369,93.625,53.578,25.994,93.625,26.77,56.873,100.0,144.881,325.926,112.072,26.77,231.068,25.819,60.116,114.685,171.555,323.315,130.178,25.819,323.315
11710,11710632,송파구,가락2동,마트/생활잡화,가락2동_마트/생활잡화,32.831,84.825,104.107,115.375,148.634,97.862,43.453,148.634,37.102,91.356,100.0,109.885,136.616,97.424,78.904,136.616,32.904,98.244,105.744,113.643,163.71,101.98,89.788,124.418
11710,11710632,송파구,가락2동,병원,가락2동_병원,2.121,66.701,92.121,115.681,148.073,85.294,2.121,148.073,4.272,75.704,100.0,120.778,164.002,93.984,50.03,164.002,0.951,62.157,86.714,105.652,125.467,76.317,0.951,125.467
11710,11710632,송파구,가락2동,스포츠/헬스시설,가락2동_스포츠/헬스시설,18.015,46.695,281.6,1246.816,2517.335,696.373,18.015,2517.335,20.688,44.719,100.0,377.524,2188.113,381.685,20.688,650.481,15.77,49.937,370.944,1263.22,3979.763,912.612,15.77,2046.226
11710,11710632,송파구,가락2동,약국,가락2동_약국,0.684,84.739,99.454,117.588,187.818,92.275,78.205,149.019,0.905,84.991,100.0,123.688,159.989,92.737,66.472,159.989,1.454,89.543,109.424,128.61,154.835,100.231,74.69,154.835
11710,11710632,송파구,가락2동,오락/공연/서점,가락2동_오락/공연/서점,13.78,99.361,133.67,212.484,419.22,169.487,13.78,306.455,24.243,61.225,100.0,158.176,261.908,114.932,24.243,261.908,32.276,100.042,126.835,189.659,304.42,140.51,32.276,304.42
11710,11710632,송파구,가락2동,음/식료품,가락2동_음/식료품,34.052,67.012,88.028,107.233,181.757,90.411,34.052,147.132,39.703,82.377,100.0,123.533,354.681,106.194,39.703,151.116,18.195,78.797,96.827,126.766,236.489,99.446,18.195,177.579
11710,11710632,송파구,가락2동,일식/양식/중식,가락2동_일식/양식/중식,44.952,74.023,95.669,118.421,149.911,95.497,44.952,149.911,59.784,80.057,100.0,118.398,190.357,102.27,59.784,168.768,37.76,73.53,99.392,110.375,156.319,93.524,37.76,156.319
11710,11710632,송파구,가락2동,제과/커피/패스트푸드,가락2동_제과/커피/패스트푸드,77.32,88.428,91.395,104.656,131.578,95.753,77.32,118.444,78.973,91.71,100.0,115.133,133.921,102.918,78.973,133.921,80.298,92.926,105.906,110.88,138.813,105.0,80.298,135.487
11710,11710632,송파구,가락2동,패션/잡화,가락2동_패션/잡화,56.459,132.059,148.766,189.226,226.519,153.473,56.459,226.519,29.494,65.754,100.0,169.889,361.968,152.842,29.494,169.889,41.585,72.775,91.232,159.175,428.721,143.81,41.585,225.13
11710,11710632,송파구,가락2동,편의점,가락2동_편의점,80.216,84.151,89.951,94.452,104.14,90.051,80.216,104.14,82.377,91.739,100.0,108.345,120.718,100.489,82.377,120.718,89.435,97.875,103.497,107.786,121.598,103.44,89.435,121.598
11710,11710632,송파구,가락2동,한식,가락2동_한식,67.891,82.638,92.747,104.127,137.811,95.208,67.891,128.995,71.808,87.995,100.0,114.116,128.453,100.239,71.808,128.453,21.4,82.877,88.401,108.368,130.356,91.375,54.506,130.356
11710,11710620,송파구,가락본동,레저/문화용품,가락본동_레저/문화용품,2.42,56.109,72.606,93.409,282.692,84.937,2.42,148.826,15.876,53.309,100.0,123.113,204.999,96.366,15.876,204.999,9.709,62.692,141.46,310.808,823.446,214.86,9.709,678.258
11710,11710620,송파구,가락본동,마트/생활잡화,가락본동_마트/생활잡화,39.762,80.001,96.93,106.862,128.857,93.224,39.762,128.857,46.055,94.192,100.0,111.816,149.957,100.434,91.034,132.137,50.182,92.964,104.093,111.418,169.108,102.174,77.172,137.643
11710,11710620,송파구,가락본동,병원,가락본동_병원,0.137,74.862,92.352,104.106,171.17,84.451,69.52,130.125,0.286,80.353,100.0,121.826,175.423,92.636,54.246,175.423,0.312,69.472,105.735,116.547,169.107,93.429,0.312,169.107
11710,11710620,송파구,가락본동,숙박,가락본동_숙박,22.199,48.095,74.308,118.812,248.873,88.33,22.199,186.421,27.038,63.657,100.0,131.319,191.921,99.771,27.038,191.921,29.378,44.363,76.047,124.789,862.139,119.703,29.378,243.32
11710,11710620,송파구,가락본동,스포츠/헬스시설,가락본동_스포츠/헬스시설,24.116,40.454,69.493,118.884,260.21,87.233,24.116,200.877,10.849,52.824,100.0,211.503,1008.467,155.271,10.849,301.614,25.199,57.446,85.271,134.24,540.946,124.181,25.199,224.972
11710,11710620,송파구,가락본동,약국,가락본동_약국,6.759,71.753,92.609,119.887,194.898,87.248,6.759,132.813,4.66,63.909,100.0,117.559,169.864,89.463,4.66,169.864,5.041,56.63,103.521,118.004,168.714,89.347,5.041,168.714
11710,11710620,송파구,가락본동,오락/공연/서점,가락본동_오락/공연/서점,37.766,76.183,99.748,152.572,236.031,115.549,37.766,236.031,36.641,79.633,100.0,139.869,364.07,121.518,36.641,216.49,48.993,87.69,112.613,155.441,221.224,122.066,48.993,221.224
11710,11710620,송파구,가락본동,음/식료품,가락본동_음/식료품,25.998,71.61,87.185,128.369,317.123,109.379,25.998,158.807,22.669,71.76,100.0,124.852,291.985,107.266,22.669,178.062,9.8,75.781,106.194,128.683,353.118,120.616,9.8,160.843
11710,11710620,송파구,가락본동,일식/양식/중식,가락본동_일식/양식/중식,66.678,94.466,109.452,145.605,191.551,116.482,66.678,191.551,65.982,88.504,100.0,131.057,191.347,109.161,65.982,191.347,31.679,89.784,108.194,129.097,208.281,109.815,31.679,155.282
11710,11710620,송파구,가락본동,제과/커피/패스트푸드,가락본동_제과/커피/패스트푸드,61.407,74.054,82.166,91.119,114.159,83.157,61.407,114.159,78.936,93.41,100.0,105.044,116.279,98.409,78.936,116.279,47.612,90.761,99.0,104.962,131.497,97.155,72.461,122.611
11710,11710620,송파구,가락본동,패션/잡화,가락본동_패션/잡화,8.428,12.95,33.568,80.18,292.488,67.315,8.428,157.157,15.704,41.245,100.0,158.958,598.863,130.473,15.704,316.134,19.534,52.156,74.612,134.328,278.532,101.407,19.534,238.463
11710,11710620,송파구,가락본동,편의점,가락본동_편의점,65.599,87.387,91.128,94.776,105.025,89.696,80.775,105.025,77.406,94.014,100.0,104.83,119.551,99.866,86.431,119.551,76.279,96.719,102.376,110.651,117.724,101.604,76.279,117.724
11710,11710620,송파구,가락본동,한식,가락본동_한식,70.323,90.149,96.15,108.943,138.558,100.015,70.323,135.375,70.875,89.43,100.0,112.056,123.313,99.975,70.875,123.313,46.838,85.114,98.159,106.273,121.602,95.342,62.222,121.602
11530,11530595,구로구,가리봉동,마트/생활잡화,가리봉동_마트/생활잡화,50.391,61.683,78.018,97.725,209.136,84.649,50.391,107.946,77.296,88.034,100.0,115.517,152.387,102.948,77.296,152.387,72.657,99.74,109.708,125.041,156.651,112.45,72.657,156.651
11530,11530595,구로구,가리봉동,병원,가리봉동_병원,6.53,12.633,20.588,90.906,410.119,97.025,6.53,112.875,6.383,70.906,100.0,248.523,440.952,173.353,6.383,440.952,4.067,25.734,52.899,126.015,285.538,98.851,4.067,72.841
11530,11530595,구로구,가리봉동,스포츠/헬스시설,가리봉동_스포츠/헬스시설,77.047,605.269,1133.491,1661.714,2189.936,1133.491,77.047,2189.936,52.381,76.19,100.0,123.81,147.619,100.0,52.381,147.619,86.355,154.015,221.676,271.14,320.604,209.545,86.355,320.604
11530,11530595,구로구,가리봉동,약국,가리봉동_약국,11.987,63.245,92.264,150.454,724.224,142.742,11.987,264.921,17.96,53.053,100.0,130.887,408.178,118.303,17.96,242.156,13.263,65.695,124.319,204.58,587.295,168.779,13.263,375.589
