업종소분류,한파_min,한파_Q1,한파_median,한파_Q3,한파_max,한파_mean,한파_lower_whisker,한파_upper_whisker,온화_min,온화_Q1,온화_median,온화_Q3,온화_max,온화_mean,온화_lower_whisker,온화_upper_whisker,폭염_min,폭염_Q1,폭염_median,폭염_Q3,폭염_max,폭염_mean,폭염_lower_whisker,폭염_upper_whisker
가구,20932,241529.0,802279.0,25272349.25,335916665,24244809.65496368,20932,61918785,38102,277794.0,764888.0,22232870.0,351965371,19955296.035379812,38102,55140033,43370,402919.5,927042.0,19905834.5,438060760,20607450.106490873,43370,49132531
LPG가스,59040,990640.5,2774968.5,6928022.75,71614725,5424891.309612373,59040,15831151,81646,961561.0,2642280.0,6813771.0,65364535,5256997.507595805,81646,15577602,229659,941051.5,2607415.0,7130366.0,71318563,5518901.448924481,229659,16389665
가전,18786,1228985.0,3164987.0,11491792.25,6558086257,95335080.28711686,18786,26825766,21772,1231262.5,3043263.0,10534992.0,8495356400,112714000.80257204,21772,24401778,14067,1335978.0,3034808.5,8067971.25,7946504582,89614592.37332155,14067,18079391
게임방/오락실,13418,152063.0,266218.0,509894.0,16773391,456269.5809797065,13418,1046624,16329,152407.0,266900.0,502449.75,14485437,456247.80550521775,16329,1027112,13553,154192.0,273217.0,528039.0,15514938,472162.3259112143,13553,1088540
기타식품,8092,179639.0,379468.0,841593.0,2017667762,1243300.1377165362,8092,1834312,8709,169945.0,364687.0,798583.0,1833856624,1254092.3046314854,8709,1741498,8048,177997.0,376238.0,800826.0,2728060834,1358078.1744974933,8048,1735031
기타유통,24815,167231.0,296701.0,665078.5,6621836225,15347406.239246044,24815,1410677,19157,158731.0,276411.0,615070.0,4605934992,8597612.08515815,19157,1298723,23210,167717.0,285120.0,575390.5,1076411962,3701371.094300671,23210,1184680
노래방,16184,112713.0,290766.5,757881.0,17688757,718249.9398359162,16184,1724281,16329,109470.0,278179.5,689660.0,24718298,664223.7123136679,16329,1559447,16096,113615.0,278627.0,681690.0,41263881,659787.0634757711,16096,1533802
기타요식,13418,619026.0,1459782.0,3413569.0,425794326,3505022.539349825,13418,7605248,15326,645463.0,1554472.0,3612506.0,845444891,3606647.4150634035,15326,8062456,15149,649770.0,1551656.0,3595547.5,586316448,3578549.295648422,15149,8013644
농수산물,26825,352804.0,673420.0,1398763.5,152346041,1685269.432674017,26825,2967007,16420,328763.0,639304.0,1338483.0,160116114,1496715.228458225,16420,2852182,15023,343550.0,655713.0,1346145.75,145544856,1464832.4095954376,15023,2848891
독서실,4829,18809.75,102901.5,1125036.25,10575728,1040337.4439252337,4829,2745642,4899,24631.0,125890.0,756590.0,80051614,899053.7570573139,4899,1844567,4869,18936.0,55002.0,816946.0,19570875,1014614.4796828543,4869,1999864
