Did,ADM_DR_CD,ADM_DR_NM,D_x,D_y
1,1101053,사직동,126.9704,37.57389
2,1101054,삼청동,126.9812,37.58837
3,1101055,부암동,126.9635,37.59696
4,1101056,평창동,126.9681,37.61569
5,1101057,무악동,126.9586,37.57711
6,1101058,교남동,126.9641,37.57107
7,1101060,가회동,126.9865,37.58251
8,1101061,종로1·2·3·4가동,126.9899,37.57519
9,1101063,종로5·6가동,127.0044,37.57286
10,1101064,이화동,127.003,37.57972
11,1101067,창신1동,127.0138,37.57237
12,1101068,창신2동,127.0102,37.57603
13,1101069,창신3동,127.0132,37.57895
14,1101070,숭인1동,127.0169,37.57718
15,1101071,숭인2동,127.0203,37.57449
16,1101072,청운효자동,126.9699,37.58441
17,1101073,혜화동,126.9974,37.58747
18,1102052,소공동,126.9744,37.56426
19,1102054,회현동,126.9771,37.55694
20,1102055,명동,126.9843,37.56395
21,1102057,필동,126.9938,37.55687
22,1102058,장충동,127.0022,37.55556
23,1102059,광희동,127.0038,37.56516
24,1102060,을지로동,126.9966,37.56662
25,1102065,신당5동,127.0219,37.56363
26,1102067,황학동,127.0208,37.56854
27,1102068,중림동,126.966,37.55735
28,1102069,신당동,127.0137,37.56569
29,1102070,다산동,127.0084,37.55494
30,1102071,약수동,127.0103,37.55015
31,1102072,청구동,127.0152,37.55688
32,1102073,동화동,127.0187,37.56071
33,1103051,후암동,126.9806,37.54991
34,1103052,용산2가동,126.9851,37.53791
35,1103053,남영동,126.9748,37.54403
36,1103057,원효로2동,126.9525,37.53385
37,1103058,효창동,126.9609,37.54281
38,1103059,용문동,126.9585,37.53798
39,1103063,이촌1동,126.9718,37.51517
40,1103064,이촌2동,126.9542,37.52286
41,1103065,이태원1동,126.9932,37.53336
42,1103066,이태원2동,126.9921,37.54176
43,1103069,서빙고동,126.9889,37.51963
44,1103070,보광동,127.0009,37.52689
45,1103071,청파동,126.9668,37.54758
46,1103072,원효로1동,126.9666,37.5375
47,1103073,한강로동,126.9686,37.52913
48,1103074,한남동,127.0052,37.53753
49,1104052,왕십리2동,127.0277,37.56145
50,1104054,마장동,127.0406,37.56742
51,1104055,사근동,127.0454,37.55812
52,1104056,행당1동,127.0362,37.55909
53,1104057,행당2동,127.0297,37.55667
54,1104058,응봉동,127.0337,37.55088
55,1104059,금호1가동,127.025,37.55359
56,1104062,금호4가동,127.0242,37.54539
57,1104065,성수1가1동,127.0423,37.54079
58,1104066,성수1가2동,127.0436,37.54901
59,1104067,성수2가1동,127.0553,37.53635
